lieu,N
Maastricht (Pays-Bas),2
Mahédan (Lieu imaginaire),2
"Majeur, Lac (Italie et Suisse)",2
Majipoor (Lieu imaginaire),2
Mälaren (Suède),2
"Malbaie, Rivière (Charlevoix-Est, Québec)",2
Malouines,2
Managua (Nicaragua),2
Manche (France),2
"Manche, Côte de la (France)",2
Mandeville (Québec),2
Manicouagan (Québec),2
"Manitoba, Lac (Man.)",2
"Maniwaki, Région de (Québec)",2
Mannheim (Allemagne),2
"Mansonville (Potton, Québec)",2
Mantes-la-Jolie (France),2
Mar del Plata (Argentine),2
Maracaibo (Venezuela),2
Mari (Ville ancienne),2
"Marmara, Mer de (Turquie)",2
Marne-la-Vallée (France),2
Marsoui (Québec),2
Maskinongé (Québec),2
Massada (Israël : Forteresse),2
Mauthausen (Autriche : Camp de concentration),2
"Méditerranée, Côte de la (France)",2
Mégantic (Québec),2
Megiddo (Ville ancienne),2
"Melbourne (Richmond, Québec)",2
"Melbourne, Agglomération de (Vict.)",2
"Memphrémagog, Lac (Québec et Verm.)",2
Mende (France),2
Messine (Italie),2
"Métabetchouan (Métabetchouan - Lac-à-la-Croix, Québec)",2
Mexicali (Mexique),2
"Mexique, Côte du golfe du (Flor.)",2
Middlesbrough (Angleterre),2
"Miramichi, Vallée de la (N.-B.)",2
Mirecourt (France),2
"Mississippi, Vallée du",2
"Mistassini (Dolbeau-Mistassini, Québec)",2
Mobile (Alab.),2
Molenbeek-Saint-Jean (Belgique),2
Monde d'Ici (Lieu imaginaire),2
"Mont-Royal (Montréal, Québec : Quartier)",2
Mont-Saint-Pierre (Québec),2
Montélimar (France),2
Monténégro,2
Monterey (Calif.),2
"Montréal, Banlieue de (Québec)",2
"Montreuil (Pas-de-Calais, France)",2
"Montreuil (Seine-Saint-Denis, France)",2
Morlaix (France),2
"Mort, Vallée de la (Calif. et Nev.)",2
"Morte, Mer (Israël et Jordanie)",2
Mostaganem (Algérie),2
Mostar (Bosnie-Herzégovine),2
"Münster (Rhénanie-du-Nord-Westphalie, Allemagne)",2
"Munster, Vallée de (France)",2
Myrtle Beach (Car. du S.),2
Mythgarthr (Lieu imaginaire),2
Nānga Parbat (Pākistān),2
Napierville (Québec),2
Naples (Royaume),2
Narbonne (France),2
Natashquan (Québec),2
"Ness, Loch (Écosse)",2
New Bedford (Mass.),2
New Haven (Conn.),2
New London (Conn.),2
"New York, Région de",2
"Niagara, Chutes du (N.Y. et Ont.)",2
Nice (Comté),2
"Niger, Delta du (Nigeria)",2
Nivernais (France),2
Nižni Novgorod (Russie),2
"Noire, Mer",2
"Noire, Montagne (Massif central, France)",2
"Noix, Île aux (Le Haut-Richelieu, Québec)",2
"Nord-Ouest, Passage du",2
"Nord, Rivière du (Argenteuil, Québec)",2
North Hatley (Québec),2
"Norvège, Mer de",2
Nouvelle-Crobuzon (Lieu imaginaire),2
Nuremberg (Allemagne),2
Oahu (Hawaii),2
Oaxaca (Mexique : État),2
"Oaxaca (Oaxaca, Mexique)",2
Ogunquit (Maine),2
Oise (France),2
Olten (Suisse),2
Olynthe (Ville ancienne),2
Ontario (Sud),2
"Ontario, Lac (N.Y. et Ont.)",2
Oradour-sur-Glane (France),2
Orly (France),2
Orvieto (Italie),2
Ouang Schock (Lieu imaginaire),2
Ouest de l'île de Montréal (Québec),2
"Outaouais, Vallée de l' (Québec et Ont.)",2
Outreterre (Lieu imaginaire),2
Palawan (Philippines),2
Panamá (Panamá),2
Papouasie occidentale (Indonésie),2
Paradis.,2
Páros (Grèce : Île),2
Pátmos (Grèce),2
Pattaya (Thaïlande),2
Pays bigouden (France),2
Peak District (Angleterre),2
Péloponnèse (Grèce),2
Peoria (Ill.),2
Périmadeia (Lieu imaginaire),2
"Petit Rang (Kamouraska, Québec)",2
Pétra (Ville ancienne),2
"Place Pigalle (Paris, France)",2
Planète Nète (Lieu imaginaire),2
Pluton (Planète naine),2
"Pointe-du-Lac (Trois-Rivières, Québec)",2
"Pointe-Noire (Kouilou, Congo)",2
Porquerolles (France),2
Potosí (Bolivie),2
Princeville (Québec),2
Provinces maritimes,2
Provins (France),2
Puerto Plata (République dominicaine),2
Pune (Inde),2
Puy-de-Dôme (France),2
"Quartier latin (Paris, France)",2
Quiberon (France),2
Raqqa (Syrie),2
Rawdon (Québec),2
Rebecq (Belgique),2
Recife (Brésil),2
Recluce (Lieu imaginaire),2
Régions éloignées,2
Régions polaires,2
Régions tropicales,2
Rennes-le-Château (France),2
Rhône (Suisse et France : Fleuve),2
Rhône-Alpes (France),2
Richelieu (Québec),2
"Rimouski, Région de (Québec)",2
Rivière-à-Pierre (Québec),2
"Rivière-des-Prairies (Montréal, Québec)",2
Rocamadour (France),2
Rodez (France),2
Romagne (Italie),2
Roquebrune-Cap-Martin (France),2
Roscoff (France),2
Rosemère (Québec),2
Roswell (N.-M.),2
Rotterdam (Pays-Bas),2
Rouyn (Québec),2
Roxton Falls (Québec),2
Royat (France),2
Rungis (France),2
"Saguenay, Région de (Québec)",2
"Saguenay, Vallée du (Québec)",2
Saint Andrews (Écosse),2
Saint Paul (Minn.),2
Saint-André-Avellin (Québec),2
Saint-Benoît-du-Lac (Québec),2
Saint-Benoît-sur-Loire (France),2
Saint-Césaire (Québec),2
Saint-Claude (France),2
Saint-Côme-Linière (Québec),2
Saint-Denis-sur-Richelieu (Québec),2
Saint-Domingue (Colonie),2
"Saint-Eugène (Drummond, Québec)",2
"Saint-Flour (Cantal, France)",2
Saint-Gabriel-de-Brandon (Québec),2
"Saint-Georges (Beauce-Sartigan, Québec)",2
Saint-Germain-en-Laye (France),2
"Saint-Honoré (Beauce-Sartigan, Québec)",2
"Saint-Hyacinthe, Région de (Québec)",2
"Saint-Laurent, Golfe du",2
Saint-Ludger (Québec),2
Saint-Maur-des-Fossés (France),2
Saint-Michel-des-Saints (Québec),2
"Saint-Paul (Alpes-Maritimes, France)",2
"Saint-Pierre, Région du lac (Québec)",2
Saint-Prime (Québec),2
Saint-Quentin (France),2
"Saint-Roch (Québec, Québec)",2
Saint-Sauveur (Québec),2
"Saint-Siméon (Charlevoix-Est, Québec)",2
Saint-Sylvestre (Québec),2
Saint-Thomas (Québec),2
Saint-Tite (Québec),2
"Saint-Vincent-de-Paul (Laval, Québec)",2
Saint-Zénon (Québec),2
Sainte-Catherine-de-la-Jacques-Cartier (Québec),2
Sainte-Hélène,2
Sainte-Lucie,2
Sainte-Marie-Salomé (Québec),2
Sainte-Ursule (Québec),2
Salaberry-de-Valleyfield (Québec),2
Salé (Maroc),2
Salluit (Québec),2
Salvador (Brésil),2
"San Francisco, Baie de (Calif.)",2
"San Juan, Archipel de (Wash.)",2
Santa Clara (Cuba),2
Santa Monica (Calif.),2
Santander (Espagne),2
Santiago de Cuba (Cuba),2
São Tomé et Príncipe,2
"Saône, Région de la (France)",2
Sarawak,2
Sarcelles (France),2
Savoie (Duché),2
Saxe (Allemagne),2
Scanie (Suède),2
Scilly (Angleterre),2
Scottish Borders (Écosse),2
Scottsdale (Ariz.),2
"Seattle, Agglomération de (Wash.)",2
"Senlis (Oise, France)",2
Sennia (Lieu imaginaire),2
"Sentier (Paris, France)",2
Sercq (Îles Anglo-Normandes),2
Sétif (Algérie),2
Sheffield (Angleterre),2
"Sherbrooke, Région de (Québec)",2
Siam,2
Sibérie orientale (Russie),2
Sidi-Bou-Saïd (Tunisie),2
Sigmaringen (Allemagne),2
"Sinaï, Mont (Égypte)",2
Sisteron (France),2
"Skeena, Fleuve (C.-B.)",2
Skíathos (Grèce : Île),2
Skopje (Macédoine du Nord),2
"Skye, Île de (Écosse)",2
"Soho (Londres, Angleterre)",2
Soleil,2
Soleure (Suisse),2
"Solovetski, Îles (Russie)",2
Sotchi (Russie),2
Southampton (N.Y.),2
Soweto (Afrique du Sud),2
"Spirit, Lac (Iowa)",2
"Square Saint-Louis (Montréal, Québec)",2
Stanstead (Québec),2
"Staten Island (New York, N.Y.)",2
Stratford-upon-Avon (Angleterre),2
Sudètes,2
Suède (Nord),2
Sumer,2
Suriname,2
Sydney (Australie),2
Tachkent (Ouzbékistan),2
Tacoma (Wash.),2
Tadjikistan,2
Takla-Makan (Chine),2
Taunus (Allemagne),2
Témiscamingue (Québec : Région),2
"Témiscamingue, Région du lac (Ont. et Québec)",2
"Témiscouata, Lac (Québec)",2
"Temple, Colline du (Jérusalem)",2
Tenerife (Canaries),2
"Terre-Neuve, Île de (T.-N.-L.)",2
"Tessin, Vallée du (Suisse et Italie)",2
Texas (Ouest),2
Thaïlande (Sud),2
"Thalia, Texas (Lieu imaginaire)",2
Thèbes (Grèce),2
Thulé (Groenland),2
"Tian'anmen (Pékin, Chine)",2
Tibéhirine (Algérie),2
Tibet historique,2
Timişoara (Roumanie),2
Timor (Île),2
Tlemcen (Algérie),2
Tourcoing (France),2
Tourlaville (France),2
Tournai (Belgique),2
Triangle d'Or (Asie du Sud-Est),2
Tripoli (Libye),2
"Trois-Saumons, Rivière (Québec)",2
Tuamotu (Polynésie française),2
Tucson (Ariz.),2
"Tunnel du Mont-Blanc (Chamonix-Mont-Blanc, France et Courmayeur, Italie)",2
Turin (Italie : Province),2
Tyranaël (Lieu imaginaire),2
Université de Montréal.,2
Utrecht (Pays-Bas),2
Uttar Pradesh (Inde),2
Uttarakhand (Inde),2
Val-d'Isère (France),2
Val-David (Québec),2
Valachie,2
Valence (Espagne : Région),2
"Varosha (Famagouste, Chypre)",2
Västerås (Suède),2
Vaudreuil-Dorion (Québec),2
Vénétie (Italie),2
"Veracruz (Veracruz, Mexique)",2
Vermillon (Lieu imaginaire),2
Vézelay (France),2
"Vézère, Vallée de la (France)",2
Vichy (France),2
Victoria,2
Vientiane (Laos),2
Viêt-nam (République démocratique),2
"Village gai (Montréal, Québec)",2
"Ville-Marie (Île-de-Montréal, Québec)",2
Ville-Marie (Québec),2
"Villefranche (Alpes-Maritimes, France)",2
Villefranche-de-Conflent (France),2
Villeneuve-lès-Avignon (France),2
Villeurbanne (France),2
Viriconium (Lieu imaginaire),2
Vitoria (Espagne),2
Vojvodine (Serbie),2
"Vostok, Lac (Antarctique)",2
"Waikiki (Honolulu, Hawaii)",2
"Wakefield (La Pêche, Québec)",2
Waterloo (Québec),2
Weimar (Allemagne),2
Wellington (Nouvelle-Zélande),2
West Palm Beach (Flor.),2
West Point (N.Y.),2
Windhoek (Namibie),2
"Windsor (Windsor and Maidenhead, Angleterre)",2
Wuhan (Chine),2
Xanth (Lieu imaginaire),2
Yalta (Ukraine),2
"Yamaska, Rivière (Québec)",2
Yangzi jiang (Chine),2
Yokohama (Japon),2
Yorktown (Virg.),2
Yvelines (France),2
"17e arrondissement (Paris, France)",1
"3e arrondissement (Paris, France)",1
"4e arrondissement (Paris, France)",1
"5e arrondissement (Paris, France)",1
Aab (Lieu imaginaire),1
"Abakan, Vallée de l' (Russie)",1
"Abbaye de Cadouin (Le Buisson-de-Cadouin, France)",1
"Abbaye Notre-Dame-du-Lac (Oka, Québec)",1
"Abbazia di Montecassino (Mont Cassin, Italie)",1
Abbeville (Louis.),1
Aberdween (Lieu imaginaire),1
Abistan (Lieu imaginaire),1
Abkhazie (République de Géorgie),1
Abou Simbel (Égypte),1
"Absaroka, Monts (Mont. et Wyom.)",1
"Acadienne, Péninsule (N.-B.)",1
Achar (Lieu imaginaire),1
"Acropole (Athènes, Grèce)",1
Adamello (Italie),1
Adana (Turquie),1
Aden,1
Aden (Yémen),1
Aëna (Lieu imaginaire),1
Afar (Éthiopia),1
"Africville (Halifax, N.-É.)",1
Afrique (Province romaine),1
Afrique anglophone,1
Afrique du Nord-Ouest,1
AfriqueDescriptions et voyages,1
Afwikassé (Lieu imaginaire),1
"Agde, Cap d' (France)",1
Agen (France),1
Agenais (France),1
Aguador (Lieu imaginaire),1
Aguanish (Québec),1
"Aguanish, Rivière (Québec)",1
Aguial (Lieu imaginaire),1
"Ahuntsic (Montréal, Québec)",1
Aïn al-Arab (Syrie),1
Aïr (Niger),1
Aix-les-Bains (France),1
"Akhisar (Manisa, Turquie)",1
Akranes (Islande),1
Akron (Ohio),1
Albufera (Espagne),1
"Alcudia, Baie d' (Espagne)",1
"Alençon, Région d' (France)",1
Aléoutiennes (Alaska),1
Alera (Lieu imaginaire),1
Alésia (Ville ancienne),1
Alexandria (Virg.),1
Alexiville (Lieu imaginaire),1
Alfortville (France),1
AlgérieHistoire1954-1962 (Guerre d'Algérie),1
AlgérieHistoire1962-1990,1
Algonquin Provincial Park (Ont.),1
Alice Island (Lieu imaginaire),1
Allagash (Maine : Rivière),1
Allemagne (Nord),1
Allemagne (Sud),1
"Allemagne (Territoire sous occupation alliée, 1945-1955 : Zone française)",1
AllemagneHistoire1933-1945,1
Alma (Québec),1
Alma-Ata (Kazakhstan),1
"Along, Baie d' (Viêt-nam)",1
Alpes Pennines (Italie et Suisse),1
Alpilles (France),1
Alstrass (Lieu imaginaire),1
"Altaï, Région des monts",1
Altamaha (Géorgie : Fleuve),1
Altiplano,1
Alto Douro (Portugal),1
Alturie (Lieu imaginaire),1
Ama (Lieu imaginaire),1
Amagansett (N.Y.),1
Amalfi (Italie),1
Amami (Japon),1
"Amazone, Bassin de l'",1
Ambregris (Lieu imaginaire),1
"Amos, Région d' (Québec)",1
Amour (Chine et Russie : Fleuve),1
Amritsar (Inde),1
Anaérobie (Lieu imaginaire),1
Ancash (Pérou),1
"Andaman, Mer d'",1
Anderlecht (Belgique),1
"Andijan (Andijan, Ouzbékistan)",1
"Andromède, Galaxie d'",1
Angara (Russie : Rivière),1
Angel's Fist Wyo (Lieu imaginaire),1
Anglet (France),1
Angleterre (Nord-Est),1
Angleterre (Sud-Ouest),1
AngleterreMœurs et coutumes19e siècle,1
Annaba (Algérie),1
"Annapolis, Bassin d' (N.-É.)",1
Annwin (Lieu imaginaire),1
Anosios (Lieu imaginaire),1
Anrézoth (Lieu imaginaire),1
Antalya (Turquie),1
Antigua (Guatemala),1
Antigua et Barbuda,1
Antilles néerlandaises,1
Antioche (Principauté),1
Antioche de Pisidie (Ville ancienne),1
Aoste (Italie),1
Appalaches (Nord),1
Appalachian Trail,1
Aquasilva (Lieu imaginaire),1
Ar'Tiria (Lieu imaginaire),1
Arabie (Province romaine),1
Arabie méridionale,1
"Araguaia, Vallée de l' (Brésil)",1
Ararat (Lieu imaginaire),1
Arcadie (Lieu imaginaire),1
Archonat (Lieu imaginaire),1
"Arctique, Archipel (Nunavut et T.N.-O.) (Lieu imaginaire)",1
"Arctique, Océan",1
Arcueil (France),1
Ardentes (France),1
Argelès-sur-Mer (France),1
"Argentario, Mont (Italie)",1
Argovie (Suisse),1
"Ariège, Vallée de l' (France)",1
"Arles, Région d' (France)",1
Armagh (Québec : Canton),1
Armagnac (France),1
"Arntfield (Rouyn-Noranda, Québec)",1
Arradon (France),1
Artois (France),1
Arun (Lieux imaginaire),1
Arusha (Tanzanie),1
Arxann (Lieu imaginaire),1
Ascalon (Lieu imaginaire),1
"Ascension, Île de l' (Océan Atlantique)",1
Ascona (Suisse),1
Ascq (France),1
Ash-Shāriqah (Émirats arabes unis : Émirat),1
Ashland (Alab.),1
AsieDécouverte et exploration italiennes,1
"Aspe, Vallée d' (France)",1
Assouan (Égypte),1
Assyrie,1
Astrakhan (Russie),1
Asunción (Paraguay),1
Athabaska (District),1
Athéra (Lieu imaginaire),1
Atlantide.,1
"Atlantique, Côte de l' (Afrique du Nord-Ouest)",1
"Atlantique, Côte de l' (Amérique du Nord)",1
"Atlantique, Côte de l' (Amérique du Sud)",1
"Atlantique, Côte de l' (Namibie)",1
Atlas (Montagnes),1
Atlin (C.-B.),1
"Atollville, Grèce (Lieu imaginaire)",1
Aubagne (France),1
Aube (France : Département),1
"Audierne, Baie d' (France)",1
Aulnay-sous-Bois (France),1
Auroville (Inde),1
Austin (Ill.),1
"Austral, Océan",1
Australasie,1
Australie (Nord),1
Australie centrale,1
AustralieHistoire1788-1851,1
Austrasie,1
Autoroute Jean-Lesage (Québec),1
AutreMonde (Lieu imaginaire),1
Autun (France),1
Auvergne (France)Mœurs et coutumes,1
Avebury (Angleterre),1
Avelden (Lieu imaginaire),1
"Avenue Duluth (Montréal, Québec)",1
"Avenue Foch (Paris, France)",1
Avilion (Lieu imaginaire),1
Ay (France),1
"Aylmer, Lac (Québec)",1
"Ayvalık (Balıkesir, Turquie)",1
Azhkendir (Lieu imaginaire),1
Azincourt (France),1
Baboukari (Lieu imaginaire),1
Babylone (Lieu imaginaire),1
Baccarat (France),1
"Bacongo (Brazzaville, Congo)",1
Bad Homburg vor der Höhe (Allemagne),1
Bade-Wurtemberg (Allemagne),1
Bagne (Lieu imaginaire),1
Bagni di Lucca (Italie),1
Bagnoles-de-l'Orne (France),1
Baie-Saint-Paul (Québec : Municipalité de paroisse),1
"Bainbridge, Île (Wash.)",1
Balagne (France),1
Balaia (Lieu imaginaire),1
Baldéa (Lieu imaginaire),1
Balkan (Bulgarie),1
Baloutchistan,1
"Baltique, Région de la mer",1
Bamberg (Allemagne),1
Ban-de-la-Roche (France),1
Bandera (Tex. : Comté),1
Banjul (Gambie),1
Banlieues.,1
"Bantry, Baie de (Irlande)",1
Baracaldo (Espagne),1
Bărăgan (Roumanie),1
Barbezieux-Saint-Hilaire (France),1
Barevi (Lieu imaginaire),1
Barfleur (France),1
Barkerville (C.-B.),1
Barra (Écosse),1
Barrage Daniel-Johnson (Québec),1
Barrage de Tabqa (Syrie),1
Barrayar (Lieu imaginaire),1
Bas Saint-Saint-Laurent (Québec),1
Bas-Lag (Lieu imaginaire),1
Bas-Languedoc (France),1
Bas-Saint-Laurent-Gaspésie (Québec),1
Basse Silésie (Pologne et Allemagne),1
Basse-Californie (Mexique),1
Basse-Fosse (Lieu imaginaire),1
Basses Tatras (Slovaquie),1
Basses-Alpes (France),1
Bastia (France),1
Bathurst (N.-B.),1
Batiscan (Québec),1
"Batiscan, Région de la (Québec)",1
Batouri,1
"Battersea (Londres, Angleterre)",1
Batz-sur-Mer (France),1
Bay City (Mich.),1
Bazens (France),1
Beaconsfield (Québec),1
Beauceville (Québec),1
"Beauchamp, Lac (Abitibi, Québec)",1
Beaufort-en-Vallée (France),1
"Beauharnois, Région de (Québec)",1
"Beaujeu (Rhône, France)",1
Beaulieu-sur-Mer (France),1
Beaumont (Tex.),1
Beauport (Québec : Seigneurie),1
Beaupré (Québec),1
Beaupréau (France),1
"Beauvais (Oise, France)",1
Beauvoir (Lieu imaginaire),1
Béchar (Algérie),1
Bedford (Québec),1
Bejaïa (Algérie),1
"Belém (Lisbonne, Portugal)",1
Belfast (Irlande),1
Belgique (Nord),1
Belitung (Indonésie),1
Bella Coola (C.-B.),1
Belle Isle (T.-N.-L. : Île),1
Bengale (Bangladesh et Inde),1
Béotie (Grèce),1
Berchtesgaden (Allemagne),1
Berck (France),1
Bergerac (France),1
"Béring, Détroit de",1
Béringie,1
Berlin (Allemagnea),1
"Berlin, Agglomération de (Allemagne)",1
"Bernard-Station, Québec (Lieu imaginaire)",1
Berne (Suisse : Canton),1
"Berre, Étang de (France)",1
"Berthier, Îles de (Québec)",1
"Berthierville, Région de (Québec)",1
Beslan (Russie),1
Bethlehem (Penns.),1
Bethsaïde (Ville ancienne),1
Betsiamites (Québec : Réserve indienne),1
Bex (Suisse),1
Beyrouth (Liban)Conditions sociales,1
Biafra,1
Biddeford (Maine),1
Big Sur (Calif.),1
Bihār (Inde),1
Biloxi (Mississ.),1
"Bingen (Rhénanie-Palatinat, Allemagne)",1
Bingham (Maine),1
Bioco (Guinée équatoriale),1
"Biscayne, Baie de (Flor.)",1
"Bitterroot, Vallée de la (Mont.)",1
Bizerte (Tunisie),1
Black Country (Angleterre),1
"Black Lake (Thetford Mines, Québec)",1
"Blackheath (Londres, Angleterre)",1
Blackpool (Angleterre),1
Blayais (France),1
Blaye (France),1
"Bletchley (Buckinghamshire, Angleterre)",1
Blida (Algérie),1
Blies (Allemagne et France : Rivière),1
"Bloomsbury (Londres, Angleterre)",1
Blue Ridge,1
"Blue Ridge, Région des",1
Blue-Sea (Québec),1
Boca Raton (Flor.),1
Bochum (Allemagne),1
Bodega Bay (Calif.),1
Bodrum (Turquie),1
Bogotá (Colombie)Conditions sociales,1
"Bois de Vincennes (Paris, France)",1
Bois-Colombes (France),1
Boisbriand (Québec),1
"Bolzano (Trentin-Haut-Adige, Italie)",1
Bom Fim (Lieu imaginaire),1
Bondy (France),1
"Bonne-Espérance, Cap de (Afrique du Sud)",1
Borale (Lieu imaginaire),1
"Bormida, Vallée de la (Italie)",1
Bosphore (Turquie),1
"Boston, Agglomération de (Mass.)",1
"Boston, Baie de (Mass.)",1
"Boston, Région de (Mass.)",1
Bouchette (Québec),1
Bouclier canadien,1
Bougival (France),1
Boukhara (Ouzbékistan),1
Boulder (Col.),1
Boulogne-Billancourt (France),1
Boulonnais (France),1
Bourg-en-Bresse (France),1
Bourgoin-Jallieu (France),1
Bourgueil (France),1
Bournemouth (Angleterre),1
"Boyle Heights (Los Angeles, Calif.)",1
"Bradford (West Yorkshire, Angleterre)",1
Brandebourg (Allemagne : Land),1
"Brasília (Distrito Federal, Brésil)",1
Brébeuf (Québec),1
Brémondville (Lieu imaginaire),1
Brescello (Italie),1
BrésilConditions sociales,1
Bretagne (France)Mœurs et coutumes,1
Bretagne.,1
Brétigny-sur-Orge (France),1
Bretonnie (Lieu imaginaire),1
Breuil-le-Sec (France),1
Brie (France),1
Brière (France),1
Brighton and Hove (Angleterre),1
Brigus (T.-N.-L.),1
Brisbane (Queensl.),1
"Britanniques, Îles",1
Brno (République tchèque),1
Brome-Missisquoi (Québec),1
Bromont (Québec),1
Brompton (Québec),1
Brompton-Falls (Québec),1
Brou (France),1
Broughton (Québec),1
"Bruce, Péninsule de (Ont.)",1
Brumonde (Lieu imaginaire),1
Brunswick (Géorgie),1
"Bruxelles, Région de (Belgique)",1
Bucarest (Hongrie),1
Buckinghamshire (Angleterre),1
Buctouche (N.-B.),1
Buea (Cameroun),1
Buena Park (Calif.),1
"Buenos Aires, Agglomération de (Argentine)",1
Bujumbura (Burundi),1
Bulzor (Lieu imaginaire),1
Burgos (Espagne),1
"Burrard, Anse de (C.-B.)",1
"Cabano (Témiscouata-sur-le-Lac, Québec)",1
"Cabonga, Réservoir (Québec)",1
"Cadix, Baie de (Espagne)",1
Cagliari (Italie : Province),1
"Caire, Région du (Égypte)",1
"Calais, Région de (France)",1
Calgary (Alberta),1
Calimport (Lieu imaginaire),1
Caluire-et-Cuire (France),1
Calumet City (Ill.),1
"Camberwell (Londres, Angleterre)",1
Cambrai (France)Mœurs et coutumes18e siècle,1
Camden (Maine),1
Camden (N.J.),1
Cameroun (Ouest),1
Cameroune.,1
CamerounMœurs et coutumes,1
Campanie (Italie),1
Campeche (Mexique : État),1
Canada-Uni,1
CanadaÉmigration et immigration,1
Canal de l'Ourcq (France),1
"Canal de Lachine (Montréal, Québec)",1
Canal de Nantes à Brest (France),1
Canal de Panamá (Panamá),1
Canal du Berry (France),1
Canal du Midi (France),1
"Canal Saint-Martin (Paris, France)",1
"Cananéia (São Paulo, Brésil)",1
"Canaveral, Cap (Flor.)",1
Canda.,1
Candar (Lieu imaginaire),1
Caniapiscau (Québec),1
"Canigou, Mont (France)",1
Cannon Beach (Or.),1
"Cantal, Massif du (France)",1
Canvey (Angleterre : Île),1
Cap Maillant (Lieu imaginaire),1
"Cap-au-Renard (La Martre, Québec)",1
"Cap-aux-Meules (Les Îles-de-la-Madeleine, Québec)",1
Cap-Breton (N.-É. : Comté),1
Cap-Chat (Québec),1
"Cap-de-la-Madeleine (Trois-Rivières, Québec)",1
"Cap-Tourmente (Saint-Joachim, Québec)",1
Cape Cod Canal (Mass.),1
Cape Cod National Seashore (Mass.),1
Cape May (N.J.),1
"Capucins (Cap-Chat, Québec)",1
Caracal (Roumanie),1
Caraquet (N.-B.),1
Caravaggio (Italie),1
Carélie (Russie),1
Carhaix-Plouguer (France),1
Carinthie (Autriche)Mœurs et coutumes,1
Carlisle (Angleterre),1
Carmarthen (Pays de Galles),1
"Carmel, Mont (Israël)",1
"Carmona (Séville, Espagne)",1
Carrières-sous-Poissy (France),1
Carson City (Nev.),1
Cartagena (Colombie),1
"Cascades, Chaîne des",1
Cascapédia-Saint-Jules (Québec),1
"Cascapédia, Rivière (Québec)",1
Caserte (Italie),1
"Caspienne, Région de la mer",1
Casselman (Ont.),1
"Cassino, Région de (Italie)",1
Castel Gandolfo (Italie),1
Castellammare di Stabia (Italie),1
Castellax (Lieux imaginaire),1
Castille et León (Espagne),1
"Cathédrale Notre-Dame (Paris, France)",1
Cavaillon (France),1
"Cayenne, Île de (Guyane française)",1
Cedar Cove (Lieu imaginaire),1
Cefalù (Italie),1
"Celtique, Mer",1
"Centre Bell (Montréal, Québec)",1
Césarée (Israël),1
České Budějovice (République tchèque),1
Ceuta (Espagne),1
"Cézembre, Île de (France)",1
"Chaleurs, Région de la baie des (N.-B. et Québec)",1
Chalosse (France),1
"Chambord (Loir-et-Cher, France)",1
Champā (Royaume),1
Champeix (France),1
"Champigny (Marne, France)",1
Champigny-sur-Marne (France),1
Champlain (Québec),1
"Champlain, Lac",1
Champsaur (France),1
Channel Drake (Lieu imaginaire),1
Chantemerle (France),1
Chapleau (Ont.),1
Chapputo (Lieu imaginaire),1
Charenton-le-Pont (France),1
Charlemine (Lieu imaginaire),1
"Charleroi, Région de (Belgique)",1
"Charleston, Baie de (Car. du S.)",1
"Charlestown (Boston, Mass.)",1
Charlottesville (Virg.),1
Château-Richer (Québec),1
Châteauguay (Québec : Seigneurie),1
Châteauneuf-du-Pape (France),1
Châtenay-Malabry (France),1
Chatham (Angleterre),1
Chatham (Géorgie),1
Chatham (Québec),1
Chatou (France),1
Chaudes-Aigues (France),1
Chaumont-en-Vexin (France),1
"Chausey, Îles (France)",1
Chautauqua (N.Y. : Comté),1
"Chauvet, Grotte (France)",1
Chavy (France),1
Cheektowaga (N.Y.),1
"Chełmno (Kujawsko-Pomorskie, Pologne)",1
Chelmsford (Angleterre),1
"Chelsea (Londres, Angleterre)",1
"Chelsea (Manhattan, New York, N.Y.)",1
Chemin des Dames (France),1
Chenonceaux (France),1
Cherchell (Algérie),1
"Chesapeake, Région de la baie de (Mar. et Virg.)",1
Chester (Angleterre),1
Chester (Lieu imaginaire),1
Chesterville (Québec),1
Cheyenne (Wyom.),1
Chibām (Yémen),1
"Chibougamau, Région de (Québec)",1
"Chic-Chocs, Monts (Québec)",1
Chicabo (Ill.),1
"Chignectou, Isthme de (N.-B. et N.-É.)",1
Chili (Sud),1
ChiliHistoire,1
Chiltern Hills (Angleterre),1
Chimborazo (Équateur),1
"Chinatown (Toronto, Ont.)",1
"Chine méridionale, Mer de",1
ChineHistoire1260-1368 (Dynastie des Yuan),1
ChineRelations raciales,1
Chio (Grèce),1
Chioggia (Italie),1
Chomutov (République tchèque),1
Chongqing (Chine),1
Christmas (Océan Indien),1
Cilento (Italie),1
"Cimetière Montparnasse (Paris, France)",1
"Cimetière Saint-Michel (Sillery, Québec)",1
"Cimiez (Nice, France)",1
"Circé, Mont (Italie)",1
Cité d'Uthmer (Lieu imaginaire),1
Cité de Penlocke (Lieu imaginaire),1
Cité-basse (Lieu imaginaire),1
Cité-sur-Mer (Lieu imaginaire),1
Civitella d'Agliano (Italie),1
Clarke (Alab.),1
Clayton (N.Y.),1
Cleveland (Angleterre),1
Clifton (Québec),1
Clipperton,1
Clodey (Lieu imaginaire),1
Clontarf (Irlande),1
"Clova (La Tuque, Québec)",1
Clugnat (France),1
Cluj-Napoca (Roumanie),1
Cnossos (Ville ancienne),1
Coatzacoalcos (Mexique),1
Cobá (Mexique : Site archéologique),1
Cobalt (Ont.),1
Cobourg (Allemagne),1
Coldwater (Lieu imaginaire),1
